severity,type,component,line,rule,message,status,effort
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/service/task/DefaultTaskOutcomeService.java,262,java:S3776,Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.,OPEN,11min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsoleBatchWindowResponse.java,49,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""booleanValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-worker/export/src/main/java/io/github/pinpols/batch/worker/exports/stage/format/DelimitedExportFormat.java,30,java:S3776,Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed.,OPEN,13min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelValidator.java,408,java:S1192,Use already-defined constant 'COL_RETRY_POLICY' instead of duplicating its value here.,OPEN,6min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/engine/TaskDispatchOutboxService.java,173,java:S1192,"Define a constant instead of duplicating this literal ""partitions"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-trigger/src/main/java/io/github/pinpols/batch/trigger/service/DefaultTriggerService.java,179,java:S1192,"Define a constant instead of duplicating this literal ""ACCEPTED"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelValidator.java,625,java:S1192,Use already-defined constant 'COL_STEP_NAME' instead of duplicating its value here.,OPEN,4min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsoleInstanceActionResponse.java,23,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/service/governance/DefaultFileGovernanceService.java,128,java:S1192,"Define a constant instead of duplicating this literal ""storage_bucket"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelValidator.java,570,java:S1192,Use already-defined constant 'COL_PIPELINE_NAME' instead of duplicating its value here.,OPEN,4min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/infrastructure/file/FileGovernanceStorageMaintenance.java,101,java:S1192,"Define a constant instead of duplicating this literal ""cleanupReason"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,sdk/java/core/src/main/java/io/github/pinpols/batch/sdk/dispatcher/TaskDispatcher.java,327,java:S3776,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,OPEN,7min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/support/web/ConsoleApiExceptionHandler.java,97,java:S1452,Remove usage of generic wildcard type.,OPEN,20min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/service/governance/DefaultFileGovernanceService.java,129,java:S1192,"Define a constant instead of duplicating this literal ""storagePath"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/trigger/TriggerLaunchConsumer.java,150,java:S1192,"Define a constant instead of duplicating this literal ""tenant"" 6 times.",OPEN,14min
